Department,Department_Division,PCN,Position_Title,FLSA_Status,Initial_Hire_Date,Date_in_Title,Salary
FIR,FIR 020 Fire Operations,B.005396,Master Firefighter,Non Exempt,1998-01-16,2003-01-16,81494.4
FIR,FIR 020 Fire Operations,B.005765.3     ,Administrative Assistant,Non Exempt,2001-10-01,2019-02-28,51521.6
FIR,FIR 020 Fire Operations,B.002997.1     ,Firefighter,Non Exempt,2017-01-23,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.004627.1     ,Master Firefighter,Non Exempt,2014-02-01,2020-03-26,62995.14
FIR,FIR 020 Fire Operations,B.000107.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.003904,Fire Captain,Non Exempt,1996-11-16,2006-05-01,94494.4
FIR,FIR 020 Fire Operations,B.004197.2     ,Master Firefighter,Non Exempt,2014-02-01,2020-02-13,62995.14
FIR,FIR 020 Fire Operations,B.002226,Fire Captain,Non Exempt,2001-01-16,2018-04-12,94494.4
FIR,FIR 020 Fire Operations,B.003079.4     ,Firefighter,Non Exempt,2016-02-22,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.003551.2     ,Fire Captain,Non Exempt,2003-02-01,2017-08-03,90511.98
FIR,FIR 020 Fire Operations,B.000183,Master Firefighter,Non Exempt,2015-02-07,2015-10-22,62841.48
FIR,FIR 020 Fire Operations,B.001483,Master Firefighter,Non Exempt,1996-06-01,2009-02-01,77039.3
FIR,FIR 020 Fire Operations,B.002071,Master Firefighter,Non Exempt,2003-02-01,2009-02-01,77061.14
FIR,FIR 020 Fire Operations,B.002498,Fire Captain,Non Exempt,2002-07-01,2013-03-01,93321.02
FIR,FIR 020 Fire Operations,B.000630,Master Firefighter,Non Exempt,2007-02-16,2013-02-16,69775.68
FIR,FIR 020 Fire Operations,B.000027.2     ,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.000429.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.000825,Master Firefighter,Non Exempt,2015-02-07,2021-02-25,62841.48
FIR,FIR 020 Fire Operations,B.007106.1     ,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.005267,Fire Captain,Non Exempt,2007-02-16,2019-09-12,79497.6
FIR,FIR 020 Fire Operations,B.001549,Fire Captain,Non Exempt,2005-07-16,2014-07-07,92728.48
FIR,FIR 020 Fire Operations,B.004295.1     ,Fire Captain,Non Exempt,2011-10-16,2020-03-12,82217.2
FIR,FIR 020 Fire Operations,B.000109,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.007395,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.003225,Fire Captain,Non Exempt,2007-02-16,2015-12-22,90621.7
FIR,FIR 020 Fire Operations,B.004176,Master Firefighter,Non Exempt,2014-02-01,2020-02-13,62995.14
FIR,FIR 020 Fire Operations,B.001686.2     ,Firefighter Medic,Non Exempt,2019-09-26,2019-09-26,54872.48
FIR,FIR 020 Fire Operations,B.004133,Master Firefighter,Non Exempt,2008-02-16,2014-02-16,69227.08
FIR,FIR 020 Fire Operations,B.001817.2     ,Fire Captain,Non Exempt,2006-05-16,2016-03-22,90621.7
FIR,FIR 020 Fire Operations,B.001892.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.007394,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.003354,Firefighter,Non Exempt,2016-02-22,2016-11-07,56370.34
FIR,FIR 020 Fire Operations,B.003719,Fire Captain,Non Exempt,1987-01-01,2001-07-01,94494.4
FIR,FIR 020 Fire Operations,B.000349,Master Firefighter Medic,Non Exempt,2011-10-16,2018-09-13,69660.24
FIR,FIR 020 Fire Operations,B.000481,Fire Captain,Non Exempt,2007-02-16,2018-09-13,81888.04
FIR,FIR 020 Fire Operations,B.007393,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.002422,Fire Captain,Non Exempt,2001-01-16,2007-01-16,90490.14
FIR,FIR 020 Fire Operations,B.000564,Firefighter,Non Exempt,2021-02-25,2021-07-15,49226.32
FIR,FIR 020 Fire Operations,B.000166,Fire Captain,Non Exempt,1986-04-18,2014-01-01,93233.14
FIR,FIR 020 Fire Operations,B.002010.1     ,Firefighter Medic,Non Exempt,2011-05-26,2017-07-27,60240.44
FIR,FIR 020 Fire Operations,B.005929,Master Firefighter,Non Exempt,2003-08-01,2009-08-16,75393.5
FIR,FIR 020 Fire Operations,B.007404,Firefighter Medic,Non Exempt,2016-02-22,2016-11-07,62039.9
FIR,FIR 020 Fire Operations,B.005260,Firefighter,Non Exempt,2016-02-22,2016-11-07,56370.34
FIR,FIR 020 Fire Operations,B.007405,Firefighter Medic,Non Exempt,2016-02-22,2016-11-07,62018.06
FIR,FIR 020 Fire Operations,B.007107.1     ,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.007238,Fire Battalion Officer,Exempt,1997-10-01,2019-09-12,107139.76
FIR,FIR 020 Fire Operations,B.005712,Fire Captain,Non Exempt,2006-05-16,2015-12-22,90621.7
FIR,FIR 020 Fire Operations,B.000742,Firefighter Medic,Non Exempt,2019-09-26,2019-09-26,54680.6
FIR,FIR 020 Fire Operations,B.000701,Master Firefighter,Non Exempt,2009-09-16,2015-10-07,68108.04
FIR,FIR 020 Fire Operations,B.001359.2     ,Firefighter Medic,Non Exempt,2018-11-08,2020-06-18,55983.46
FIR,FIR 020 Fire Operations,B.001248,Fire Captain,Non Exempt,2005-07-16,2017-07-06,90511.98
FIR,FIR 020 Fire Operations,B.007720.1     ,Fire Captain,Non Exempt,2013-01-01,2016-07-07,90621.7
FIR,FIR 020 Fire Operations,B.001510,Fire Captain,Non Exempt,2011-10-16,2018-12-06,81888.04
FIR,FIR 020 Fire Operations,B.006860,Master Firefighter,Non Exempt,2002-06-07,2020-03-26,62995.14
FIR,FIR 020 Fire Operations,B.000366,Master Firefighter,Non Exempt,2003-08-01,2009-08-01,75393.5
FIR,FIR 020 Fire Operations,B.000117.1     ,Fire Captain,Non Exempt,2002-07-01,2018-03-15,90402.26
FIR,FIR 020 Fire Operations,B.001728,Master Firefighter,Non Exempt,2009-09-16,2015-09-22,68108.04
FIR,FIR 020 Fire Operations,B.004153,Master Firefighter,Non Exempt,2014-02-01,2020-02-13,62995.14
FIR,FIR 020 Fire Operations,B.004301,Master Firefighter,Non Exempt,2008-02-16,2016-07-07,68700.58
FIR,FIR 020 Fire Operations,B.004128.1     ,Firefighter Medic,Non Exempt,2017-01-19,2018-06-21,60087.04
FIR,FIR 020 Fire Operations,B.003721,Master Firefighter Medic,Non Exempt,2002-02-01,2009-02-01,85612.8
FIR,FIR 020 Fire Operations,B.001929.4     ,Fire District Officer,Exempt,1989-12-16,2018-10-25,124158.06
FIR,FIR 020 Fire Operations,B.003657,Master Firefighter,Non Exempt,1985-01-16,1991-04-16,81494.4
FIR,FIR 020 Fire Operations,B.001467,Master Firefighter,Non Exempt,2009-09-16,2016-04-07,68108.04
FIR,FIR 020 Fire Operations,B.002315,Fire Captain,Non Exempt,1999-09-16,2010-05-16,93628.08
FIR,FIR 020 Fire Operations,B.005911,Master Firefighter,Non Exempt,2013-01-01,2019-01-03,66198.86
FIR,FIR 020 Fire Operations,B.000787,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.001050,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.003399,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.000331,Master Firefighter Medic,Non Exempt,2013-01-01,2019-01-03,69660.24
FIR,FIR 020 Fire Operations,B.002989,Fire Captain,Non Exempt,1998-01-16,2012-01-16,93408.64
FIR,FIR 020 Fire Operations,B.001389.1     ,Fire Deputy Chief,Exempt,1987-01-10,2016-06-07,140629.31
FIR,FIR 020 Fire Operations,B.003496,Master Firefighter,Non Exempt,2008-02-16,2014-02-16,69227.08
FIR,FIR 020 Fire Operations,B.003314.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.007239,Fire District Officer,Exempt,1988-02-01,2017-07-06,119220.66
FIR,FIR 020 Fire Operations,B.007562,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.004173,Fire Captain,Non Exempt,2005-07-16,2017-07-06,90511.98
FIR,FIR 020 Fire Operations,B.002794.4     ,Master Firefighter Medic,Non Exempt,2002-02-01,2006-02-01,85612.8
FIR,FIR 020 Fire Operations,B.005917,Master Firefighter,Non Exempt,2013-01-01,2020-07-02,63236.42
FIR,FIR 020 Fire Operations,B.003224,Master Firefighter,Non Exempt,1996-07-16,2019-09-26,81494.14
FIR,FIR 020 Fire Operations,B.003800.4     ,Fire Battalion Officer,Exempt,2000-01-16,2016-04-07,102794.9
FIR,FIR 020 Fire Operations,B.000790,Fire Captain,Non Exempt,1988-04-01,2005-01-16,94494.4
FIR,FIR 020 Fire Operations,B.002447,Master Firefighter,Non Exempt,2008-10-16,2015-09-07,68108.04
FIR,FIR 020 Fire Operations,B.002742,Master Firefighter Medic,Non Exempt,2015-02-07,2021-02-11,69067.96
FIR,FIR 020 Fire Operations,B.005708,Master Firefighter,Non Exempt,2007-02-16,2013-08-16,69227.08
FIR,FIR 020 Fire Operations,B.000932,Master Firefighter Medic,Non Exempt,2011-10-16,2017-12-21,73588.32
FIR,FIR 020 Fire Operations,B.004187,Master Firefighter,Non Exempt,2004-02-01,2010-02-01,74011.08
FIR,FIR 020 Fire Operations,B.003091,Fire Captain,Non Exempt,2002-07-01,2013-04-16,93321.02
FIR,FIR 020 Fire Operations,B.007401,Firefighter,Non Exempt,2016-02-22,2016-11-07,56370.34
FIR,FIR 020 Fire Operations,B.002246,Master Firefighter,Non Exempt,2009-09-16,2014-09-07,68656.64
FIR,FIR 020 Fire Operations,B.007557,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.001086,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.001386,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.002372,Master Firefighter Medic,Non Exempt,2008-02-16,2020-02-26,85562.62
FIR,FIR 020 Fire Operations,B.001397.2     ,Master Firefighter Medic,Non Exempt,2002-07-01,2008-10-16,85612.8
FIR,FIR 020 Fire Operations,B.001269,Fire Captain,Non Exempt,2010-05-27,2020-06-04,79545.7
FIR,FIR 020 Fire Operations,B.003687,Master Firefighter Medic,Non Exempt,2014-02-01,2020-02-13,69331.08
FIR,FIR 020 Fire Operations,B.004250,Fire Captain,Non Exempt,2007-02-16,2018-12-06,81888.04
FIR,FIR 020 Fire Operations,B.002725,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.006866.1     ,Fire Battalion Officer,Exempt,1988-08-25,2018-12-06,103540.84
FIR,FIR 020 Fire Operations,B.002457,Fire Captain,Non Exempt,2001-01-16,2007-09-16,94494.4
FIR,FIR 020 Fire Operations,B.002929,Master Firefighter Medic,Non Exempt,2003-02-01,2008-09-01,83704.4
FIR,FIR 020 Fire Operations,B.007392,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.004269,Fire Captain,Non Exempt,2008-02-16,2017-09-07,90511.98
FIR,FIR 020 Fire Operations,B.005984,Master Firefighter,Non Exempt,2008-02-16,2014-03-30,69227.08
FIR,FIR 020 Fire Operations,B.001135,Fire Captain,Non Exempt,2009-09-16,2017-07-06,90511.98
FIR,FIR 020 Fire Operations,B.007396,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.002068,Fire Captain,Non Exempt,1997-04-16,2012-07-16,93430.74
FIR,FIR 020 Fire Operations,B.001407,Fire Captain,Non Exempt,2006-05-16,2016-04-07,90621.7
FIR,FIR 020 Fire Operations,B.000994.1     ,Firefighter,Non Exempt,2015-06-22,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.002208,Firefighter,Non Exempt,2012-04-01,2016-11-07,56370.34
FIR,FIR 020 Fire Operations,B.007563,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.006037,Master Firefighter,Non Exempt,2009-09-16,2015-10-07,68108.04
FIR,FIR 020 Fire Operations,B.002432,Master Firefighter,Non Exempt,2009-09-16,2015-09-22,68108.04
FIR,FIR 020 Fire Operations,B.003077,Master Firefighter,Non Exempt,1999-04-16,2017-11-23,66989
FIR,FIR 020 Fire Operations,B.004172.1     ,Master Firefighter,Non Exempt,2017-01-19,2021-01-28,60317.92
FIR,FIR 020 Fire Operations,B.005920,Master Firefighter,Non Exempt,2002-07-01,2006-12-02,77324.52
FIR,FIR 020 Fire Operations,B.000573,Fire Captain,Non Exempt,2003-02-01,2013-10-01,92882.14
FIR,FIR 020 Fire Operations,B.000155,Master Firefighter Medic,Non Exempt,2009-09-16,2015-09-07,75848.5
FIR,FIR 020 Fire Operations,B.001274.2     ,Fire Captain,Non Exempt,1984-06-14,2003-04-16,94494.4
FIR,FIR 020 Fire Operations,B.002087,Master Firefighter,Non Exempt,1998-01-16,2002-04-16,81494.4
FIR,FIR 020 Fire Operations,B.001838,Fire Captain,Non Exempt,2003-02-01,2012-05-16,94494.4
FIR,FIR 020 Fire Operations,B.005933,Master Firefighter,Non Exempt,2004-08-16,2011-05-16,72299.24
FIR,FIR 020 Fire Operations,B.004066.1     ,Fire District Officer,Exempt,1988-10-01,2013-10-01,122644.08
FIR,FIR 020 Fire Operations,B.002027,Fire Captain,Non Exempt,2007-02-16,2016-11-07,90511.98
FIR,FIR 020 Fire Operations,B.003674,Fire Captain,Non Exempt,2011-10-16,2019-01-17,81888.04
FIR,FIR 020 Fire Operations,B.005921,Fire Captain,Non Exempt,2002-07-01,2013-08-16,94494.4
FIR,FIR 020 Fire Operations,B.006085.5     ,Fire Battalion Officer,Exempt,1993-09-01,2013-03-01,107183.7
FIR,FIR 020 Fire Operations,B.001352,Fire Captain,Non Exempt,2004-02-01,2013-10-01,93233.14
FIR,FIR 020 Fire Operations,B.005704,Master Firefighter,Non Exempt,2001-01-16,2007-06-16,80221.18
FIR,FIR 020 Fire Operations,B.007565,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.007235.1     ,Fire Captain,Non Exempt,1998-06-16,2013-03-01,93321.02
FIR,FIR 020 Fire Operations,B.003535,Master Firefighter,Non Exempt,2000-07-16,2006-07-16,81494.4
FIR,FIR 020 Fire Operations,B.001156,Master Firefighter,Non Exempt,2009-09-16,2016-02-07,68108.04
FIR,FIR 020 Fire Operations,B.005934,Master Firefighter,Non Exempt,1995-09-16,2014-12-07,75305.62
FIR,FIR 020 Fire Operations,B.003662.2     ,Fire Captain,Non Exempt,2006-05-16,2016-04-07,90621.7
FIR,FIR 020 Fire Operations,B.001574,Fire Captain,Non Exempt,2001-01-16,2011-04-16,94494.4
FIR,FIR 020 Fire Operations,B.003152.1     ,Fire Battalion Officer,Exempt,2002-02-01,2013-04-16,107578.64
FIR,FIR 020 Fire Operations,B.005913,Master Firefighter Medic,Non Exempt,2002-07-01,2008-07-01,85612.8
FIR,FIR 020 Fire Operations,B.001585,Master Firefighter,Non Exempt,2011-10-16,2017-10-26,66989
FIR,FIR 020 Fire Operations,B.007389,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.000500.2     ,Master Firefighter,Non Exempt,2003-08-01,2009-08-01,75393.5
FIR,FIR 020 Fire Operations,B.000744.3     ,Fire Battalion Officer,Exempt,1996-04-16,2020-06-04,103979.72
FIR,FIR 020 Fire Operations,B.000411,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.000170,Master Firefighter,Non Exempt,2008-02-16,2014-02-16,69227.08
FIR,FIR 020 Fire Operations,B.005910,Master Firefighter Medic,Non Exempt,2014-02-01,2018-05-10,73696.48
FIR,FIR 020 Fire Operations,B.000185,Fire Captain,Non Exempt,2006-05-16,2015-10-07,90621.7
FIR,FIR 020 Fire Operations,B.001022,Fire Captain,Non Exempt,1998-06-16,2019-01-17,92969.76
FIR,FIR 020 Fire Operations,B.004238.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.003439,Firefighter,Non Exempt,2010-05-27,2018-05-01,52091.26
FIR,FIR 020 Fire Operations,B.005936,Master Firefighter,Non Exempt,1990-06-01,2008-07-01,78487.5
FIR,FIR 020 Fire Operations,B.002200,Firefighter Medic,Non Exempt,2019-09-26,2019-09-26,54872.48
FIR,FIR 020 Fire Operations,B.003166,Master Firefighter,Non Exempt,2007-02-16,2013-07-16,69227.08
FIR,FIR 020 Fire Operations,B.005264,Master Firefighter,Non Exempt,2000-01-16,2006-01-16,81494.4
FIR,FIR 020 Fire Operations,B.002766,Master Firefighter,Non Exempt,2013-01-01,2019-01-03,63346.14
FIR,FIR 020 Fire Operations,B.003757,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.006044.2     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.006045,Master Firefighter,Non Exempt,2004-02-01,2010-04-01,74011.08
FIR,FIR 020 Fire Operations,B.005266.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.005938.4     ,Master Firefighter,Non Exempt,2002-07-01,2011-07-16,77961
FIR,FIR 020 Fire Operations,B.001845,Master Firefighter Medic,Non Exempt,2008-02-16,2014-02-16,75299.9
FIR,FIR 020 Fire Operations,B.001102,Master Firefighter,Non Exempt,2004-02-01,2010-02-01,74011.08
FIR,FIR 020 Fire Operations,B.001557,Fire Captain,Non Exempt,2006-05-16,2016-01-22,90621.7
FIR,FIR 020 Fire Operations,B.003715,Firefighter Medic,Non Exempt,2016-02-22,2016-11-07,62039.9
FIR,FIR 020 Fire Operations,B.002639,Fire Captain,Non Exempt,2011-10-16,2020-06-18,79545.7
FIR,FIR 020 Fire Operations,B.004048,Fire Captain,Non Exempt,1981-08-01,2004-02-01,94494.4
FIR,FIR 020 Fire Operations,B.006035,Master Firefighter,Non Exempt,1996-11-16,2010-08-16,72431.06
FIR,FIR 020 Fire Operations,B.001552,Master Firefighter,Non Exempt,2002-02-01,2007-08-01,79518.92
FIR,FIR 020 Fire Operations,B.006412.2     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.005916,Master Firefighter Medic,Non Exempt,2009-09-16,2015-10-07,74729.46
FIR,FIR 020 Fire Operations,B.003659.1     ,Master Firefighter,Non Exempt,2014-02-01,2020-02-13,62995.14
FIR,FIR 020 Fire Operations,B.000555,Master Firefighter,Non Exempt,2003-08-01,2010-10-01,74822.8
FIR,FIR 020 Fire Operations,B.006188,Master Firefighter,Non Exempt,2013-01-01,2020-03-12,63236.42
FIR,FIR 020 Fire Operations,B.003125.1     ,Fire Battalion Officer,Exempt,2005-07-16,2018-12-06,102356.02
FIR,FIR 020 Fire Operations,B.000478,Master Firefighter,Non Exempt,1998-06-16,2004-07-16,81494.4
FIR,FIR 020 Fire Operations,B.005928.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.005706,Fire Captain,Non Exempt,1998-01-16,2019-02-14,93803.58
FIR,FIR 020 Fire Operations,B.001670,Fire Captain,Non Exempt,2011-10-16,2015-12-22,74921.6
FIR,FIR 020 Fire Operations,B.004868,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.002853,Firefighter,Non Exempt,2014-02-01,2014-08-22,57160.48
FIR,FIR 020 Fire Operations,B.004168,Firefighter,Non Exempt,2015-02-07,2015-10-22,57028.66
FIR,FIR 020 Fire Operations,B.007568,Firefighter,Non Exempt,2017-03-02,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.002296.2     ,Master Firefighter,Non Exempt,2014-02-01,2020-02-13,62995.14
FIR,FIR 020 Fire Operations,B.005915,Master Firefighter,Non Exempt,2002-07-01,2008-07-01,78487.5
FIR,FIR 020 Fire Operations,B.001180,Fire Captain,Non Exempt,1998-10-16,2006-05-01,94494.4
FIR,FIR 020 Fire Operations,B.007105.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.004260,Master Firefighter,Non Exempt,1997-04-01,2003-04-01,81494.4
FIR,FIR 020 Fire Operations,B.005709,Master Firefighter Medic,Non Exempt,2001-01-16,2009-03-01,85612.8
FIR,FIR 020 Fire Operations,B.007387,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.004068,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.007558,Firefighter,Non Exempt,2020-01-16,2021-07-15,49226.32
FIR,FIR 020 Fire Operations,B.001091,Master Firefighter Medic,Non Exempt,2011-10-16,2015-10-07,74729.46
FIR,FIR 020 Fire Operations,B.001907.1     ,Master Firefighter,Non Exempt,1989-05-26,2004-08-16,81494.4
FIR,FIR 020 Fire Operations,B.001987.2     ,Master Firefighter,Non Exempt,2014-02-01,2020-02-13,62995.14
FIR,FIR 020 Fire Operations,B.005923,Master Firefighter,Non Exempt,2002-07-01,2006-09-01,79321.32
FIR,FIR 020 Fire Operations,B.006414.1     ,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.007386,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.006039.2     ,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.000463,Master Firefighter,Non Exempt,2001-07-16,2006-02-01,81494.4
FIR,FIR 020 Fire Operations,B.002367,Firefighter,Non Exempt,2018-01-04,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.005909,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.003021.1     ,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.001571,Master Firefighter Medic,Non Exempt,2011-10-16,2017-10-26,73588.32
FIR,FIR 020 Fire Operations,B.006038,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.007385,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.006410,Master Firefighter,Non Exempt,2007-02-16,2013-02-16,69775.68
FIR,FIR 020 Fire Operations,B.001408,Fire Captain,Non Exempt,2011-10-16,2017-10-26,73694.4
FIR,FIR 020 Fire Operations,B.007567,Firefighter,Non Exempt,2018-06-15,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.006411,Master Firefighter Medic,Non Exempt,2013-01-01,2019-01-03,69660.24
FIR,FIR 020 Fire Operations,B.003743,Fire Captain,Non Exempt,2008-02-16,2014-02-16,82846.4
FIR,FIR 020 Fire Operations,B.003421,Master Firefighter Medic,Non Exempt,2009-09-16,2015-09-07,74729.46
FIR,FIR 020 Fire Operations,B.003914,Master Firefighter Medic,Non Exempt,2015-02-07,2021-03-11,69024.02
FIR,FIR 020 Fire Operations,B.006855,Master Firefighter,Non Exempt,2013-01-01,2019-01-03,63346.14
FIR,FIR 020 Fire Operations,B.007390,Firefighter,Non Exempt,2017-11-09,2018-05-01,54695.94
FIR,FIR 020 Fire Operations,B.007109.1     ,Firefighter,Non Exempt,2011-08-22,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.001715,Fire Captain,Non Exempt,2006-05-16,2020-09-24,78191.36
FIR,FIR 020 Fire Operations,B.002008,Master Firefighter,Non Exempt,2010-05-16,2015-10-07,68108.04
FIR,FIR 020 Fire Operations,B.003144,Master Firefighter,Non Exempt,2011-10-16,2017-10-26,66989
FIR,FIR 020 Fire Operations,B.003520,Firefighter,Non Exempt,2011-10-16,2013-06-16,57489.64
FIR,FIR 020 Fire Operations,B.002456,Master Firefighter,Non Exempt,1980-02-16,2004-08-01,81494.4
FIR,FIR 020 Fire Operations,B.005394,Fire Captain,Non Exempt,2008-02-16,2020-05-21,82853.68
FIR,FIR 020 Fire Operations,B.007391,Firefighter,Non Exempt,2011-02-16,2018-05-01,52833.3
FIR,FIR 020 Fire Operations,B.007564,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.001484,Firefighter,Non Exempt,2015-02-07,2015-10-22,57028.66
FIR,FIR 020 Fire Operations,B.007402,Firefighter Medic,Non Exempt,2016-02-22,2016-11-07,62018.06
FIR,FIR 020 Fire Operations,B.003165,Master Firefighter Medic,Non Exempt,2013-01-01,2019-01-31,69660.24
FIR,FIR 020 Fire Operations,B.007571,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.001556,Fire Captain,Non Exempt,1994-08-11,2011-03-16,93540.46
FIR,FIR 020 Fire Operations,B.007236,Fire Battalion Officer,Exempt,1993-03-16,2020-05-21,106635.1
FIR,FIR 020 Fire Operations,B.006416,Firefighter,Non Exempt,2018-11-08,2019-04-25,51500.02
FIR,FIR 020 Fire Operations,B.005404,Master Firefighter Medic,Non Exempt,2014-02-01,2018-03-15,73696.48
FIR,FIR 020 Fire Operations,B.003629,Master Firefighter,Non Exempt,2013-01-01,2019-01-03,63346.14
FIR,FIR 020 Fire Operations,B.000854,Fire Captain,Non Exempt,1997-08-01,2009-03-16,93737.8
FIR,FIR 020 Fire Operations,B.000223,Master Firefighter,Non Exempt,1984-10-01,1991-07-16,81494.4
FIR,FIR 020 Fire Operations,B.002610.1     ,Firefighter Medic,Non Exempt,2017-01-19,2017-07-27,60218.6
FIR,FIR 020 Fire Operations,B.006856,Master Firefighter,Non Exempt,2013-01-01,2019-01-17,63346.14
FIR,FIR 020 Fire Operations,B.002241,Master Firefighter,Non Exempt,2014-02-01,2020-02-13,62995.14
FIR,FIR 020 Fire Operations,B.007108,Firefighter Medic,Non Exempt,2017-11-09,2018-05-01,60187.92
FIR,FIR 020 Fire Operations,B.001019,Firefighter,Non Exempt,2017-01-19,2017-07-27,54724.54
FIR,FIR 020 Fire Operations,B.002402,Firefighter,Non Exempt,2019-09-26,2019-09-26,51000.04
FIR,FIR 020 Fire Operations,B.002661,Master Firefighter,Non Exempt,2015-02-07,2021-06-17,62841.48
FIR,FIR 020 Fire Operations,B.000987,Master Firefighter Medic,Non Exempt,1989-04-16,1995-05-16,85612.8
FIR,FIR 020 Fire Operations,B.006864,Master Firefighter,Non Exempt,2009-09-16,2015-02-07,68656.64
FIR,FIR 020 Fire Operations,B.005403,Master Firefighter,Non Exempt,2009-09-16,2015-11-07,68108.04
FIR,FIR 020 Fire Operations,B.007014,Firefighter,Non Exempt,2020-01-16,2020-06-18,51000.04
FIR,FIR 020 Fire Operations,B.006043,Firefighter,Non Exempt,2015-02-07,2015-10-22,57028.66
FIR,FIR 020 Fire Operations,B.001323.1     ,Firefighter,Non Exempt,2017-11-09,2019-04-25,51500.02
